trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,decay,alpha
3,True,"{'a': 0, 'e': 0}",48,35,22.2060423588,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.075,0.5
4,True,"{'a': 0, 'e': 0}",48,34,17.7273197436,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.075,0.5
5,True,"{'a': 0, 'e': 0}",32,28,9.0067748777,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.075,0.5
6,True,"{'a': 0, 'e': 0}",32,2,-7.57014820833,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",1,-0.075,0.5
7,True,"{'a': 0, 'e': 0}",48,38,-24.9860127808,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1,-0.075,0.5
8,True,"{'a': 0, 'e': 0}",32,24,-28.4067501723,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1,-0.075,0.5
9,True,"{'a': 0, 'e': 0}",40,30,15.5112788932,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.075,0.5
10,True,"{'a': 0, 'e': 0}",32,22,11.5636322795,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1,-0.075,0.5
1,False,"{'a': 0.6, 'e': 0.97530991202833262}",32,10,-165.328691393,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 3}",1,-0.025,0.6
2,False,"{'a': 0.6, 'e': 0.9512294245007139}",40,0,-231.711045919,"{0: 21, 1: 5, 2: 11, 3: 0, 4: 3}",0,-0.025,0.6
3,False,"{'a': 0.6, 'e': 0.92774348632855275}",32,0,-129.10917498,"{0: 19, 1: 5, 2: 6, 3: 1, 4: 1}",0,-0.025,0.6
4,False,"{'a': 0.6, 'e': 0.90483741803595941}",48,0,-267.177122077,"{0: 29, 1: 1, 2: 13, 3: 2, 4: 3}",0,-0.025,0.6
5,False,"{'a': 0.6, 'e': 0.88249690258459523}",32,0,-101.018754226,"{0: 21, 1: 2, 2: 7, 3: 2, 4: 0}",0,-0.025,0.6
6,False,"{'a': 0.6, 'e': 0.86070797642505759}",40,0,-205.413919678,"{0: 28, 1: 3, 2: 5, 3: 0, 4: 4}",0,-0.025,0.6
7,False,"{'a': 0.6, 'e': 0.83945702076920714}",32,24,-39.2478564154,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1,-0.025,0.6
8,False,"{'a': 0.6, 'e': 0.8187307530779816}",32,0,-234.085612,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 3}",0,-0.025,0.6
9,False,"{'a': 0.6, 'e': 0.79851621875937673}",48,0,-288.1674021,"{0: 30, 1: 4, 2: 7, 3: 3, 4: 4}",0,-0.025,0.6
10,False,"{'a': 0.6, 'e': 0.77880078307140455}",40,0,-190.166275916,"{0: 26, 1: 3, 2: 8, 3: 0, 4: 3}",0,-0.025,0.6
11,False,"{'a': 0.6, 'e': 0.75957212322496814}",32,13,-44.9499390224,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1,-0.025,0.6
12,False,"{'a': 0.6, 'e': 0.74081822068171754}",56,0,-255.1036375,"{0: 39, 1: 4, 2: 5, 3: 5, 4: 3}",0,-0.025,0.6
13,False,"{'a': 0.6, 'e': 0.72252735364207188}",32,0,-77.947559453,"{0: 25, 1: 3, 2: 2, 3: 1, 4: 1}",0,-0.025,0.6
14,False,"{'a': 0.6, 'e': 0.70468808971871311}",32,0,-181.425837921,"{0: 20, 1: 0, 2: 6, 3: 5, 4: 1}",0,-0.025,0.6
15,False,"{'a': 0.6, 'e': 0.68728927879097179}",48,30,-26.7497861213,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1,-0.025,0.6
16,False,"{'a': 0.6, 'e': 0.67032004603563888}",40,0,-191.65252513,"{0: 26, 1: 2, 2: 7, 3: 3, 4: 2}",0,-0.025,0.6
17,False,"{'a': 0.6, 'e': 0.65376978512984685}",32,1,-101.835852212,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 2}",1,-0.025,0.6
18,False,"{'a': 0.6, 'e': 0.63762815162177289}",32,11,-102.011108786,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 2}",1,-0.025,0.6
19,False,"{'a': 0.6, 'e': 0.62188505646501968}",32,20,-17.8216192479,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1,-0.025,0.6
20,False,"{'a': 0.6, 'e': 0.60653065971263298}",40,0,-102.650342476,"{0: 31, 1: 1, 2: 5, 3: 2, 4: 1}",0,-0.025,0.6
21,False,"{'a': 0.6, 'e': 0.59155536436681466}",32,0,-67.10666339,"{0: 26, 1: 1, 2: 4, 3: 0, 4: 1}",0,-0.025,0.6
22,False,"{'a': 0.6, 'e': 0.57694981038048621}",32,0,-78.7800923255,"{0: 25, 1: 2, 2: 3, 3: 1, 4: 1}",0,-0.025,0.6
23,False,"{'a': 0.6, 'e': 0.56270486880695514}",32,8,-48.3643977724,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 1}",1,-0.025,0.6
24,False,"{'a': 0.6, 'e': 0.54881163609402583}",32,0,-114.68978763,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 2}",0,-0.025,0.6
25,False,"{'a': 0.6, 'e': 0.53526142851898961}",40,0,-169.475046562,"{0: 28, 1: 3, 2: 6, 3: 0, 4: 3}",0,-0.025,0.6
26,False,"{'a': 0.6, 'e': 0.52204577676101538}",32,0,-8.71683381084,"{0: 28, 1: 2, 2: 2, 3: 0, 4: 0}",0,-0.025,0.6
