trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,decay,alpha
13,False,"{'a': 0.1, 'e': 0.6099999999999997}",40,0,-109.663463965,"{0: 31, 1: 2, 2: 5, 3: 0, 4: 2}",0,0.03,0.1
14,False,"{'a': 0.1, 'e': 0.5799999999999996}",32,0,-82.3169081007,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 2}",0,0.03,0.1
15,False,"{'a': 0.1, 'e': 0.5499999999999996}",32,1,-83.0737274248,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 2}",1,0.03,0.1
16,False,"{'a': 0.1, 'e': 0.5199999999999996}",40,6,-180.861336036,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 4}",1,0.03,0.1
17,False,"{'a': 0.1, 'e': 0.48999999999999955}",48,0,-63.743777012,"{0: 41, 1: 1, 2: 4, 3: 1, 4: 1}",0,0.03,0.1
18,False,"{'a': 0.1, 'e': 0.4599999999999995}",56,3,-102.577724332,"{0: 42, 1: 2, 2: 6, 3: 2, 4: 1}",1,0.03,0.1
19,False,"{'a': 0.1, 'e': 0.4299999999999995}",40,4,-70.1891725588,"{0: 29, 1: 0, 2: 6, 3: 0, 4: 1}",1,0.03,0.1
20,False,"{'a': 0.1, 'e': 0.39999999999999947}",40,31,11.1838757749,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.03,0.1
21,False,"{'a': 0.1, 'e': 0.36999999999999944}",32,0,-201.610673815,"{0: 24, 1: 0, 2: 2, 3: 2, 4: 4}",0,0.03,0.1
22,False,"{'a': 0.1, 'e': 0.3399999999999994}",48,21,20.5132284586,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1,0.03,0.1
23,False,"{'a': 0.1, 'e': 0.3099999999999994}",32,27,1.33943734236,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1,0.03,0.1
24,False,"{'a': 0.1, 'e': 0.27999999999999936}",32,23,-28.2373373434,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1,0.03,0.1
25,False,"{'a': 0.1, 'e': 0.24999999999999936}",32,7,-60.0094287912,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",1,0.03,0.1
26,False,"{'a': 0.1, 'e': 0.21999999999999936}",40,2,-45.9507040559,"{0: 34, 1: 2, 2: 0, 3: 0, 4: 2}",1,0.03,0.1
27,False,"{'a': 0.1, 'e': 0.18999999999999936}",56,38,2.95218944716,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1,0.03,0.1
28,False,"{'a': 0.1, 'e': 0.15999999999999936}",32,1,14.6026530428,"{0: 30, 1: 0, 2: 0, 3: 1, 4: 0}",1,0.03,0.1
29,False,"{'a': 0.1, 'e': 0.12999999999999937}",40,20,-78.2820260012,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1,0.03,0.1
30,False,"{'a': 0.1, 'e': 0.09999999999999937}",32,26,6.69804362794,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.03,0.1
31,False,"{'a': 0.1, 'e': 0.06999999999999937}",32,6,-15.7883272323,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 1}",1,0.03,0.1
32,False,"{'a': 0.1, 'e': 0.03999999999999937}",40,31,13.3313098157,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.03,0.1
1,True,"{'a': 0, 'e': 0}",48,29,22.3952367283,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1,0.03,0.1
2,True,"{'a': 0, 'e': 0}",32,11,32.087971685,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.03,0.1
3,True,"{'a': 0, 'e': 0}",32,23,16.8108896114,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.03,0.1
4,True,"{'a': 0, 'e': 0}",40,12,-5.89889479169,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1,0.03,0.1
5,True,"{'a': 0, 'e': 0}",32,19,19.8686544733,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.03,0.1
6,True,"{'a': 0, 'e': 0}",40,14,28.9029072783,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.03,0.1
7,True,"{'a': 0, 'e': 0}",32,11,-100.193847383,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 3}",1,0.03,0.1
8,True,"{'a': 0, 'e': 0}",32,2,-19.1548748646,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",1,0.03,0.1
9,True,"{'a': 0, 'e': 0}",32,4,29.9112973834,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.03,0.1
10,True,"{'a': 0, 'e': 0}",32,19,-27.049482638,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1,0.03,0.1
1,False,"{'a': 0.1, 'e': 0.98}",32,0,-209.815262313,"{0: 19, 1: 0, 2: 7, 3: 4, 4: 2}",0,0.02,0.1
2,False,"{'a': 0.1, 'e': 0.96}",48,25,-117.553793727,"{0: 9, 1: 3, 2: 11, 3: 0, 4: 0}",1,0.02,0.1
3,False,"{'a': 0.1, 'e': 0.94}",40,9,-182.141641516,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 3}",1,0.02,0.1
4,False,"{'a': 0.1, 'e': 0.9199999999999999}",40,0,-167.253072118,"{0: 30, 1: 1, 2: 3, 3: 4, 4: 2}",0,0.02,0.1
5,False,"{'a': 0.1, 'e': 0.8999999999999999}",48,12,-158.891938509,"{0: 25, 1: 3, 2: 5, 3: 0, 4: 3}",1,0.02,0.1
6,False,"{'a': 0.1, 'e': 0.8799999999999999}",40,0,-111.904857443,"{0: 29, 1: 2, 2: 7, 3: 1, 4: 1}",0,0.02,0.1
7,False,"{'a': 0.1, 'e': 0.8599999999999999}",40,0,-167.519356745,"{0: 26, 1: 6, 2: 4, 3: 2, 4: 2}",0,0.02,0.1
8,False,"{'a': 0.1, 'e': 0.8399999999999999}",32,21,-40.8401165558,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 0}",1,0.02,0.1
9,False,"{'a': 0.1, 'e': 0.8199999999999998}",32,0,-183.470791003,"{0: 17, 1: 4, 2: 6, 3: 4, 4: 1}",0,0.02,0.1
10,False,"{'a': 0.1, 'e': 0.7999999999999998}",40,0,-191.750130402,"{0: 25, 1: 1, 2: 11, 3: 1, 4: 2}",0,0.02,0.1
11,False,"{'a': 0.1, 'e': 0.7799999999999998}",40,0,-311.41879932,"{0: 24, 1: 4, 2: 5, 3: 1, 4: 6}",0,0.02,0.1
12,False,"{'a': 0.1, 'e': 0.7599999999999998}",32,0,-122.206574786,"{0: 23, 1: 2, 2: 2, 3: 4, 4: 1}",0,0.02,0.1
13,False,"{'a': 0.1, 'e': 0.7399999999999998}",48,14,-59.4971199988,"{0: 28, 1: 1, 2: 3, 3: 1, 4: 1}",1,0.02,0.1
14,False,"{'a': 0.1, 'e': 0.7199999999999998}",32,0,-58.0358461922,"{0: 24, 1: 2, 2: 5, 3: 1, 4: 0}",0,0.02,0.1
15,False,"{'a': 0.1, 'e': 0.6999999999999997}",40,0,-36.4645227219,"{0: 34, 1: 1, 2: 3, 3: 2, 4: 0}",0,0.02,0.1
16,False,"{'a': 0.1, 'e': 0.6799999999999997}",40,0,-201.210389223,"{0: 27, 1: 3, 2: 5, 3: 2, 4: 3}",0,0.02,0.1
17,False,"{'a': 0.1, 'e': 0.6599999999999997}",32,0,-158.043656279,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 2}",0,0.02,0.1
18,False,"{'a': 0.1, 'e': 0.6399999999999997}",40,0,-140.502673085,"{0: 30, 1: 1, 2: 6, 3: 1, 4: 2}",0,0.02,0.1
19,False,"{'a': 0.1, 'e': 0.6199999999999997}",32,0,-127.904516258,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 2}",0,0.02,0.1
20,False,"{'a': 0.1, 'e': 0.5999999999999996}",32,9,-28.1545342013,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1,0.02,0.1
21,False,"{'a': 0.1, 'e': 0.5799999999999996}",32,25,-2.05791189005,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1,0.02,0.1
22,False,"{'a': 0.1, 'e': 0.5599999999999996}",32,22,-44.4941385887,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1,0.02,0.1
